Question;nbreRep;A;B;C;D;Justification;Theme;Formation;id
When using GAX to do a new installation, where are new privileges saved ?;1;GAX DB;Config DB;Log DB;Cassandra DB;;01 - Administration overview;Framework 8.5 Routing & Reporting;1
Which tab allow you to see which application is connected to the current application ?;1;Dependencies;Connections;Tenants;Switches;;01 - Administration overview;Framework 8.5 Routing & Reporting;2
What contains a .apd file ?;1;Default options for applications in binary format;Default options for applications;Metadatas;;;01 - Administration overview;Framework 8.5 Routing & Reporting;3
What contains a .tlp file ?;1;Default options for applications;Default options for applications in binary format;Metadatas;;;01 - Administration overview;Framework 8.5 Routing & Reporting;4
What contains a .xml file ?;1;Metadatas;Default options for applications in binary format;Default options for applications;;;01 - Administration overview;Framework 8.5 Routing & Reporting;5
Which tab allow you to see to which application is connected the current application ?;1;Connections;Dependencies;Tenants;Switches;;01 - Administration overview;Framework 8.5 Routing & Reporting;6
When using GAX to do a new installation, when are new privileges imported ?;1;During the upload of an IP;During the installation of the application;;;;01 - Administration overview;Framework 8.5 Routing & Reporting;7
When using GAX to do a new installation,xml file is required to include new privileges bring by the ip ?;1;True;False;;;;01 - Administration overview;Framework 8.5 Routing & Reporting;8
Which log level can be saved in the log DB ?;3;Standard;Interaction;Trace;Debug;;01 - Administration overview;Framework 8.5 Routing & Reporting;9
Which option allow to not delete the first log file of an application ?;1;keep-startup-file;keep-first-file;delete-first-file;delete-startup-file;;01 - Administration overview;Framework 8.5 Routing & Reporting;10
Where will network option send logs ?;1;Message Server;Log DB;SCS;LCA;;01 - Administration overview;Framework 8.5 Routing & Reporting;11
The debug log level cannot be saved in the Log DB et stdout;1;False;True;;;;01 - Administration overview;Framework 8.5 Routing & Reporting;12
Which section controls the configuration of the Config Server ?;1;[confserv];[conf];[config];[serverconfig];;02 - Configuration Layer;Framework 8.5 Routing & Reporting;13
Which section controls the DB Server config of the Config Server ?;1;[dbserver];[dbconfig];[configdb];[dbservconf];;02 - Configuration Layer;Framework 8.5 Routing & Reporting;14
In which section is the encryption option for the DB password ?;1;[confserv];[log];[dbserver];[login];;02 - Configuration Layer;Framework 8.5 Routing & Reporting;15
Which section controls the logging of the Config Server ?;1;[log];[logging];[logconf];[configlog];;02 - Configuration Layer;Framework 8.5 Routing & Reporting;16
During a creation/modification of an object, where does GAX send the querry ?;1;Config Server;Config DB;GAX DB;Message Server;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;17
What is the name of the file used by Config Server to start ?;1;confserv.cfg;confserv.txt;confserv.bat;confserv.exe;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;18
When is generated the startup file for Config Server ?;1;During the installation;During the first Startup;After the installation;;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;19
Clients of the Config DB cannot start if they are not connected to it;1;True;False;;;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;20
Switch single tenant to multi tenant is very difficult;1;True;False;;;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;21
The Config Server has to be stopped during the password encryption ?;1;True;False;;;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;22
How can we start the Config Server ?;3;From Windows Services;From start menu;From command lines;From confserv.bat;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;23
The Configuration Layer has to be started before the Database Management System;1;False;True;;;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;24
You can change your password with a Genesys Application when using a third party authentification;1;False;True;;;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;25
Which applications collects objets from the Config Server at startup ?;3;ORS;URS;Stat Server;T-Server;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;26
What are the steps needed to deploy Configuration Layer? ;3;Setup Configuration Server ;Setup Configuration Database ;Run License Utility ;Setup License Manager ;;02 - Configuration Layer;Framework 8.5 Routing & Reporting;27
Which mode put everyone in read-only mode ?;1;read-only;Emergency mode;;;;03 - GA;Framework 8.5 Routing & Reporting;28
The Master Account has all rights;1;True;False;;;;03 - GA;Framework 8.5 Routing & Reporting;29
Master Account isn't member of any group;1;True;False;;;;03 - GA;Framework 8.5 Routing & Reporting;30
GA is connected to :;3;Config Server;Log DB;SCS;Message Server;;03 - GA;Framework 8.5 Routing & Reporting;31
Which mode put everyone except Super Admin in read-only mode ?;1;Emergency mode;read-only;;;;03 - GA;Framework 8.5 Routing & Reporting;32
GA use a DAP_JDBC to connect to the log DB ?;1;False;True;;;;03 - GA;Framework 8.5 Routing & Reporting;33
Install a security certificate during the GA installation is mandatory;1;False;True;;;;03 - GA;Framework 8.5 Routing & Reporting;34
Master Account is assigned to all roles;1;False;True;;;;03 - GA;Framework 8.5 Routing & Reporting;35
GA can intall applications on remote hosts;1;True;False;;;;03 - GA;Framework 8.5 Routing & Reporting;36
Where do we put the listning port of the GDA ?;1;Host options;Host Object;LCA Object;lca.cfg;;04 - Hosts and LCA;Framework 8.5 Routing & Reporting;37
Where do we put the listning port of the LCA ?;1;Host Object;LCA Object;lca.cfg;Host options;;04 - Hosts and LCA;Framework 8.5 Routing & Reporting;38
We have to create a LCA object for a LCA ?;1;False;True;;;;04 - Hosts and LCA;Framework 8.5 Routing & Reporting;39
If the connection between an application and the Message Server is lost, what is the extension of the file that keep the logs until the connection is back ?;1;.qsp;.sqp;.psq;.qps;;05 - GAX;Framework 8.5 Routing & Reporting;40
What is stored in the GAX DB ?;3;Operationals parameters;Audio ressources;Graphicals parameters;Objects;;05 - GAX;Framework 8.5 Routing & Reporting;41
Which type of DAP is GAX using ?;1;DAP_JDBC;DAP_DBS;;;;05 - GAX;Framework 8.5 Routing & Reporting;42
What is the first step when deploying GAX ?;1;Create the GAX DB;Launch the setup.exe for GAX;;;;05 - GAX;Framework 8.5 Routing & Reporting;43
To which application GAX is NOT connected ?;1;Message Server;Log DB;Config Server;GDA;;05 - GAX;Framework 8.5 Routing & Reporting;44
Which option tells to the Message Server to store messages in the log DB ?;1;db_storage;logdb_storage;log_storage;save_to_logdb;;05 - GAX;Framework 8.5 Routing & Reporting;45
Which gives you access to graphical features ?;1;Roles;Permissions;;;;05 - GAX;Framework 8.5 Routing & Reporting;46
Which gives you access to features ?;1;Permissions;Roles;;;;05 - GAX;Framework 8.5 Routing & Reporting;47
Where does an application find the access informations to FlexLM ?;1;From the Config Server;In its options;From the License File;From a DAP;;06 - Licenses;Framework 8.5 Routing & Reporting;48
Which applications need technical licenses ?;2;T-Server;URS;SCS;Config Server;;06 - Licenses;Framework 8.5 Routing & Reporting;49
What are the possible Data Sources for License Reporting Manager ?;2;Configuration Server ;Solution Control Server ;SIP Server ;ICON ;;06 - Licenses;Framework 8.5 Routing & Reporting;50
What are the possible Data Sources for License Reporting Manager ?;2;License Manager ;Solution Control Server ;GVP Reporting Server ;SIP Server ;;06 - Licenses;Framework 8.5 Routing & Reporting;51
Which section can tell to SCS to autostart an application ?;1;[sml];[scsstart];[autostart];[lcastart];;07 - Management Layer;Framework 8.5 Routing & Reporting;52
What is the name of the section which allow to start a third party application ?;1;[start_stop];[start];[start_command];[command];;07 - Management Layer;Framework 8.5 Routing & Reporting;53
Which utility provided with SCS can stop properly the T-Server ?;1;ccgs.pl;ccgs.cfg;ccgs.bat;ccgs.exe;;07 - Management Layer;Framework 8.5 Routing & Reporting;54
What is the type of DAP between the Message Server and the Log DB ?;1;DAP_JDBC;DAP_DBS;;;;07 - Management Layer;Framework 8.5 Routing & Reporting;55
You need a license to send SNMP trams;1;True;False;;;;07 - Management Layer;Framework 8.5 Routing & Reporting;56
In which application the option to start a third party applicaiton is provided ?;1;Application Object;LCA Object;SCS Object;Message Server Object;;07 - Management Layer;Framework 8.5 Routing & Reporting;57
Which section tells to the Message Server to save log in the Log DB ?;1;messages;log;dblog;db_storage;;07 - Management Layer;Framework 8.5 Routing & Reporting;58
Which option tells to the Message Server to save log in the Log DB ?;1;db_storage;log_storage;save_log;network;;07 - Management Layer;Framework 8.5 Routing & Reporting;59
Which section configures SCS to send email when alarms are trigged ?;1;mailer;mail;mailto;sendmail;;07 - Management Layer;Framework 8.5 Routing & Reporting;60
Which component triggers alarms ?;1;SCS;Message Server;LCA;Log DB;;07 - Management Layer;Framework 8.5 Routing & Reporting;61
Which utility provided with SCS can send logs instead of an application ?;1;logmsg;msglog;sendlog;logsend;;07 - Management Layer;Framework 8.5 Routing & Reporting;62
Which event(s) will be put in the Audit tab of Centralized Log in GAX ?;2;Object Created;Request to start application;Automatic switchover;Minor error on applicaiton;;07 - Management Layer;Framework 8.5 Routing & Reporting;63
