Question;nbreReponses;A;B;C;D;Theme;Formation
Which type of Genesys installation does not exists ?;1;Single-Tenant;Single-Site;Multi-Site;Multi-Tenant;Configuration Layer;Framework 8.5 Routing & Reporting
A tenant is a single corporate entity with its own business goals, agents, strategies, switch configuration, etc.;1;True;False;;;Configuration Layer;Framework 8.5 Routing & Reporting
If the config database is no longer accessible the Config Server go to Emergency mode ?;1;False;True;;;Configuration Layer;Framework 8.5 Routing & Reporting
You can use both interfaces GA and GAX in an implementation;1;True;False;;;Configuration Layer;Framework 8.5 Routing & Reporting
You can change your password using GAX;1;True;False;;;Configuration Layer;Framework 8.5 Routing & Reporting
The Agent Management option is turned on under System Preferences in GAX;1;True;False;;;Configuration Layer;Framework 8.5 Routing & Reporting
Which of the following object is not configured in GAX ?;1;Agent computers;Agent groups;Skills;Persons;Configuration Layer;Framework 8.5 Routing & Reporting
Which of the following Genesys configuration object represent an agent's desk with a phone and computer ?;1;Place;DN;Extension;Skill;Configuration Layer;Framework 8.5 Routing & Reporting
Which view in GAX show when a host goes down ?;1;Host View;Application View;Dashboard;Solution View;Configuration Layer;Framework 8.5 Routing & Reporting
Which view allows to start a server application ?;1;Application view;Host view;Dashboard;Solution view;Configuration Layer;Framework 8.5 Routing & Reporting
Which view shows applications status and alarms ?;1;Dashboard;Host view;Application view;Solution view;Configuration Layer;Framework 8.5 Routing & Reporting
Which view provides more informations on an issue ?;1;Centralized log;Solution view;dashboard;Application view;Configuration Layer;Framework 8.5 Routing & Reporting
Which view allows to check solution status ?;1;Solution view;Dashboard;Application view;Host view;Configuration Layer;Framework 8.5 Routing & Reporting
Which layer centralized configuration, access control, dynamic reconfiguration and notifications ?;1;Configuration Layer;Media Layer;Services Layer;Management Layer;Configuration Layer;Framework 8.5 Routing & Reporting
Configuration Layer is made of Configuration Databse and Configuration User Interface;1;False;True;;;Configuration Layer;Framework 8.5 Routing & Reporting
The process of Configuration Server loading all the configuration data into its memory is called initialization;1;True;False;;;Configuration Layer;Framework 8.5 Routing & Reporting
Who is a central repository for all configuration data ?;1;Configuration Database;Configuration Server;confserv.cfg;Configuration Server Proxy;Configuration Layer;Framework 8.5 Routing & Reporting
Who provides centralized access to configuration data ?;1;Configuration Server;Configuration Database;confserv.cfg;Configuration Server Proxy;Configuration Layer;Framework 8.5 Routing & Reporting
During startup, Configuration Server reads this for information about how to access configuration data;1;confserv.cfg;Configuration Server Proxy;Configuration Server;Configuration Database;Configuration Layer;Framework 8.5 Routing & Reporting
What gives remote, distributed clients reliable connection to the Configuration Layer?;1;Configuration Server Proxy;Configuration Database;Configuration Server;Configuration Layer;Configuration Layer;Framework 8.5 Routing & Reporting
Who stores configured information about the Genesys environment ?;1;Configuration Database;Configuration Server;confserv.cfg;Configuration Server Proxy;Configuration Layer;Framework 8.5 Routing & Reporting
Which component loads and maintains all configuration data in active memory ?;1;Configuration Server;confserv.cfg;Configuration Server Proxy;Configuration Layer;Configuration Layer;Framework 8.5 Routing & Reporting
What is the general guideline for sizing the configuration database for the size of a configured object ?;1;10 kb;5 kb;50 kb;100 kb;Configuration Layer;Framework 8.5 Routing & Reporting
eServices does not support the use of customer data to personalize interactions.;1;False;True;;;eServices 8.5;eServices 8.5
The DAP type used by UCS is JDBC;1;True;False;;;eServices 8.5;eServices 8.5
Content Analyzer license is essential to run the Email Server;1;False;True;;;eServices 8.5;eServices 8.5
Social Messaging Server is not part of eServices Media Interface;1;False;True;;;eServices 8.5;eServices 8.5
Chat Server, Interaction Server, UCS and Web API server can be shared across tenant in a multi-tenant configuration;1;True;False;;;eServices 8.5;eServices 8.5
Hot-standby high-availability is not supported with eServices, as interaction data which is in use is always stored in a database;1;True;False;;;eServices 8.5;eServices 8.5
For e-mail, you can use the same mailbox address for more than one POP client;1;False;True;;;eServices 8.5;eServices 8.5
An Interaction Process Diagram plots an overall path for interactions;1;True;False;;;eServices 8.5;eServices 8.5
Licensing is required per eServices Agent seat, per media channel and one for the Content Analyzer;1;True;False;;;eServices 8.5;eServices 8.5
eServices Manager supports role-based access;1;True;False;;;eServices 8.5;eServices 8.5
ESP is the protocol used by Interaction Server to communicate with other servers that perform services, like routing;1;False;True;;;eServices 8.5;eServices 8.5
The only way to Load Balance between multiple ESP servers is to list all of them on the connecting application's connection tab;1;True;False;;;eServices 8.5;eServices 8.5
UCS DAPs requires a connection to DBServer;1;False;True;;;eServices 8.5;eServices 8.5
A new Email Server endpoint can be implemented in Composer and used without needing to make changes to the Email Server application object;1;False;True;;;eServices 8.5;eServices 8.5
For load balancing to be enabled on Interaction Server, connections must be configured from Interaction Server to each instance of Application Server;1;True;False;;;eServices 8.5;eServices 8.5
Standard Responses are configured using an eServices Manager outside of Composer;1;True;False;;;eServices 8.5;eServices 8.5
Chat Server uses plain HTTP to communicate with session participants like the customer and the agent;1;False;True;;;eServices 8.5;eServices 8.5
"The option ""ics_multi_media_agent_seat = 100"" means that a maximum of 100 agents can receive both email and chat interactions";1;False;True;;;eServices 8.5;eServices 8.5
Which component manage switch and database independence, common messaging ?;1;Framework;Interaction Management;Universal Routing;Solution Reporting;Framework;Framework 8.5 Routing & Reporting
Which component is comparing Contact Center productivity from today ?;1;Solution Reporting;Framework;Interaction Management;Universal Routing;Framework;Framework 8.5 Routing & Reporting
The Genesys Platform is only used for inbound-voice interations;1;False;True;;;Framework;Framework 8.5 Routing & Reporting
The Genesys Platform connect all resources, interactions, and informations into one platform ?;1;True;False;;;Framework;Framework 8.5 Routing & Reporting
The Genesys Platform includes all Genesys core components ?;1;True;False;;;Framework;Framework 8.5 Routing & Reporting
Which component provides operational information that managers and supervisors need for making decisions ?;1;Solution Reporting;Framework;Universal Routing;Interaction Management;Framework;Framework 8.5 Routing & Reporting
Genesys Engage applications have no technical dependencies;1;False;True;;;Framework;Framework 8.5 Routing & Reporting
Which layer saves all the configurations settings of the applications ?;1;Configuration Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Services Layer provides status of agent to the configuration layer ?;1;False;True;;;Layers;Framework 8.5 Routing & Reporting
Genesys is made of 7 differents layers ?;1;False;True;;;Layers;Framework 8.5 Routing & Reporting
Configuration Layer provides centralized configuration, access control, and dynamic reconfiguration and notification ?;1;True;False;;;Layers;Framework 8.5 Routing & Reporting
Media Layer monitors objects, applications, solutions and views status and alarms ?;1;False;True;;;Layers;Framework 8.5 Routing & Reporting
Which layer controls access and stores user information ?;1;Configuration Layer;Media Layer;User Interaction Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer tracks status and calculates statistics ?;1;Services Layer;Management Layer;Configuration Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer restarts an application or has a backup application take control;1;Management Layer;Services Layer;User Interaction Layer;Media Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides access control ?;1;Configuration Layer;User Interaction Layer;Services Layer;Management Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides dynamic reconfiguration and notification ?;1;Configuration Layer;User Interaction Layer;Services Layer;Management Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides a centralized configuration ?;1;Configuration Layer;User Interaction Layer;Services Layer;Management Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides alarm processing ?;1;Management Layer;Configuration Layer;Services Layer;Media Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides solution control ?;1;Management Layer;User Interaction Layer;Configuration Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides a log events interface ?;1;Management Layer;User Interaction Layer;Configuration Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides fault handling ?;1;Management Layer;User Interaction Layer;Configuration Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides interaction tracking ?;1;Media Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides external interfaces ?;1;Media Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides attached data distribution ?;1;Media Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which Layer does routing and statistics use for statistics ?;1;Services Layer;Management Layer;Configuration Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides a compilation of statistics and objets status ?;1;Services Layer;Configuration Layer;Management Layer;Media Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides external interfaces, interaction tracking and attached data distribution;1;Media Layer;Services Layer;Management Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides a compilation of statistics and objets status ?;1;Services Layer;Media Layer;Management Layer;Configuration Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides solution control and alarm processing ?;1;Management Layer;Services Layer;User Interaction Layer;Media Layer;Layers;Framework 8.5 Routing & Reporting
Which layer configure, monitor and control applications and solutions, and view status and alarms ?;1;User Interaction Layer;Management Layer;Services Layer;Configuration Layer;Layers;Framework 8.5 Routing & Reporting
There must be one DBServer per Database Access Point ?;1;False;True;;;Layers;Framework 8.5 Routing & Reporting
Database Access Point include information about database such as its name;1;True;False;;;Layers;Framework 8.5 Routing & Reporting
Applications might use JDBC or a DBServer to connect to a database;1;True;False;;;Layers;Framework 8.5 Routing & Reporting
Which layer provides the centralized configuration functionality ?;1;Configuration Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides the access control functionality ?;1;Configuration Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides the dynamic reconfiguration and notification functionality ?;1;Configuration Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer create and store agents ?;1;Configuration Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer create groups ?;1;Configuration Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer associate agents with groups ?;1;Configuration Layer;Management Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides the solution control functionality ?;1;Management Layer;Configuration Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides the alarm processing functionality ?;1;Management Layer;Configuration Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides the log event interface functionality ?;1;Management Layer;Configuration Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides the fault handling functionality ?;1;Management Layer;Configuration Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer monitor all hosts running Genesys ?;1;Management Layer;Configuration Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer send alert email when a server has failed ?;1;Management Layer;Configuration Layer;Services Layer;User Interaction Layer;Layers;Framework 8.5 Routing & Reporting
Which layer configure, monitor and control applications and solutions ?;1;User Interaction Layer;Management Layer;Configuration Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer deploy Genesys Installation Package on any host ?;1;User Interaction Layer;Management Layer;Configuration Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides Role-Based Access Control ?;1;User Interaction Layer;Management Layer;Configuration Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides a view for status and alarms ?;1;User Interaction Layer;Management Layer;Configuration Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides external interface ?;1;Media Layer;User Interaction Layer;Management Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides interaction tracking functionality ?;1;Media Layer;User Interaction Layer;Management Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides attached data distribution functionality ?;1;Media Layer;User Interaction Layer;Management Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer controls inbound and outbound calls through an interface with a traditional switch ?;1;Media Layer;User Interaction Layer;Management Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer controls email messages through an interface with a corporate email server ?;1;Media Layer;User Interaction Layer;Management Layer;Services Layer;Layers;Framework 8.5 Routing & Reporting
Which layer provides a compilation of statistics and objects status ?;1;Services Layer;Media Layer;User Interaction Layer;Management Layer;Layers;Framework 8.5 Routing & Reporting
Which layer calculates the average wait time ?;1;Services Layer;Media Layer;User Interaction Layer;Management Layer;Layers;Framework 8.5 Routing & Reporting
Which layer calculates how long the Agent is Ready ?;1;Services Layer;Media Layer;User Interaction Layer;Management Layer;Layers;Framework 8.5 Routing & Reporting
Where Sellables Items informations are stored ?;1;Config Server;Licence Manager;Log DB;Config DB;Licenses;Framework 8.5 Routing & Reporting
Which component measure the use of commercial licenses ?;1;License Reporting Manager;License Manager;Config Server;Config DB;Licenses;Framework 8.5 Routing & Reporting
Which component measure the use of technical licenses ?;1;License Manager;License Reporting Manager;Config Server;Config DB;Licenses;Framework 8.5 Routing & Reporting
ORS require a license for high availability.;1;False;True;;;Licenses;Framework 8.5 Routing & Reporting
URS require a license for Router Seats and HA.;1;True;False;;;Licenses;Framework 8.5 Routing & Reporting
Which functionlity doesn't need a license ?;1;Single-Site;Agent Seats;Multi-Site;HA;Licenses;Framework 8.5 Routing & Reporting
A technical license is a feature followed by 12 digits.;1;False;True;;;Licenses;Framework 8.5 Routing & Reporting
A technical license is a feature followed by the name of the fonctionality.;1;True;False;;;Licenses;Framework 8.5 Routing & Reporting
Warm Standby and Hot Standby license are different.;1;True;False;;;Licenses;Framework 8.5 Routing & Reporting
Which license provides the right to deploy and the use of components and functionality ?;1;Sellables items;Technical licenses;License Deamon;License Server;Licenses;Framework 8.5 Routing & Reporting
A Sellable Item line contains :;1;12 digits in hex format;The name of the feature;;;Licenses;Framework 8.5 Routing & Reporting
A feature line contains :;1;The name of the feature;12 digits in hex format;;;Licenses;Framework 8.5 Routing & Reporting
